City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khorinsk,RU,52.1657,109.7726,-0.11,99,100,2.84,overcast clouds
1,Eyl,SO,7.9803,49.8164,75.09,71,100,16.4,overcast clouds
2,Kruisfontein,ZA,-34.0033,24.7314,75.88,58,100,14.34,overcast clouds
3,Bredasdorp,ZA,-34.5322,20.0403,66.27,66,0,3.91,clear sky
4,Igrim,RU,63.1906,64.4162,-10.01,100,72,4.18,broken clouds
5,Hobart,AU,-42.8794,147.3294,53.06,87,5,9.22,clear sky
6,Cape Town,ZA,-33.9258,18.4232,69.1,76,20,1.01,few clouds
7,Torbay,CA,47.6666,-52.7314,15.89,79,75,16.11,broken clouds
8,Mataura,NZ,-46.1927,168.8643,44.47,90,10,0.92,clear sky
9,Annau,TM,37.8876,58.516,33.3,93,40,4.61,scattered clouds
10,Tura,IN,25.5198,90.2201,51.69,81,0,2.89,clear sky
11,Itarema,BR,-2.9248,-39.9167,84.34,65,100,13.89,overcast clouds
12,Jamestown,US,42.097,-79.2353,34.72,30,0,13.8,clear sky
13,Mapiripan,CO,2.8892,-72.1256,89.65,42,100,6.31,overcast clouds
14,Cidreira,BR,-30.1811,-50.2056,81.25,51,0,11.86,clear sky
15,Hermanus,ZA,-34.4187,19.2345,67.89,89,9,8.19,clear sky
16,Saskylakh,RU,71.9167,114.0833,-24.65,100,95,1.61,overcast clouds
17,Merke,KZ,42.8728,73.1786,36.97,97,100,1.1,overcast clouds
18,Tabas,IR,33.5959,56.9244,49.01,34,0,3.58,clear sky
19,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,65,0,14.97,clear sky
20,Rikitea,PF,-23.1203,-134.9692,79.09,70,2,16.75,clear sky
21,Avarua,CK,-21.2078,-159.775,77.05,88,85,10.36,overcast clouds
22,San Cristobal,VE,7.7669,-72.225,79.99,50,62,4.85,broken clouds
23,Qaanaaq,GL,77.484,-69.3632,-12.6,58,32,8.34,scattered clouds
24,Constitucion,CL,-35.3333,-72.4167,71.74,56,13,9.75,few clouds
25,East London,ZA,-33.0153,27.9116,74.82,82,1,22.03,clear sky
26,Victoria,HK,22.2855,114.1577,62.65,84,100,1.99,overcast clouds
27,Iquique,CL,-20.2208,-70.1431,71.64,66,20,7.31,few clouds
28,Kharan,PK,28.5833,65.4167,60.46,23,33,13.09,scattered clouds
29,Vostok,RU,46.4856,135.8833,-11.09,99,97,3.98,overcast clouds
30,Dikson,RU,73.5069,80.5464,-20.54,99,94,9.64,overcast clouds
31,Ushuaia,AR,-54.8,-68.3,55.81,81,100,8.32,overcast clouds
32,Kyra,RU,49.5776,111.9753,2.52,93,84,4.52,broken clouds
33,Batticaloa,LK,7.7102,81.6924,76.86,79,100,7.61,overcast clouds
34,Castro,BR,-24.7911,-50.0119,77.86,67,29,6.71,moderate rain
35,Vaini,TO,-21.2,-175.2,75.36,94,100,10.36,light rain
36,Thompson,CA,55.7435,-97.8558,-5.15,81,6,6.85,clear sky
37,Veraval,IN,20.9,70.3667,67.21,71,6,9.35,clear sky
38,Lebu,CL,-37.6167,-73.65,66.25,64,0,13.42,clear sky
39,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,9.22,scattered clouds
40,Cherskiy,RU,68.75,161.3,-31.16,100,24,1.1,few clouds
41,Busselton,AU,-33.65,115.3333,54.09,53,64,17.92,broken clouds
42,Nikolskoye,RU,59.7035,30.7861,35.87,94,100,12.28,light snow
43,Georgetown,MY,5.4112,100.3354,78.73,92,40,0.0,scattered clouds
44,Kapaa,US,22.0752,-159.319,75.52,80,75,1.99,light rain
45,Salta,AR,-24.7859,-65.4117,62.58,77,92,4.0,overcast clouds
46,Luanda,AO,-8.8368,13.2343,76.46,80,97,14.14,overcast clouds
47,Bluff,NZ,-46.6,168.3333,44.8,78,6,4.79,clear sky
48,Punta Arenas,CL,-53.15,-70.9167,69.91,52,75,16.11,broken clouds
49,Huarmey,PE,-10.0681,-78.1522,75.54,70,24,11.36,few clouds
50,Faanui,PF,-16.4833,-151.75,81.23,75,100,22.88,overcast clouds
51,Hithadhoo,MV,-0.6,73.0833,82.47,73,32,12.55,scattered clouds
52,Luena,AO,-11.7833,19.9167,62.96,82,76,5.32,broken clouds
53,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,75,17.27,light snow
54,Yining,CN,29.0361,114.5636,34.86,99,100,4.16,light snow
55,Tasiilaq,GL,65.6145,-37.6368,23.16,62,100,35.54,overcast clouds
56,New Norfolk,AU,-42.7826,147.0587,52.72,74,4,1.95,clear sky
57,Rawson,AR,-43.3002,-65.1023,75.85,34,7,15.95,clear sky
58,Ternate,ID,0.8,127.4,80.01,80,100,7.9,overcast clouds
59,Atar,MR,20.5169,-13.0499,80.96,8,0,8.86,clear sky
60,Mackay,AU,-21.15,149.2,74.68,66,86,18.95,overcast clouds
61,Coro,VE,11.4045,-69.6734,83.88,63,40,19.82,scattered clouds
62,Saint George,US,37.1041,-113.5841,59.47,23,0,1.99,clear sky
63,Nioro,GM,13.35,-15.75,93.02,8,3,6.73,clear sky
64,Puerto Ayora,EC,-0.7393,-90.3518,82.36,86,58,8.01,broken clouds
65,Tucuman,AR,-26.8241,-65.2226,77.0,61,100,3.44,overcast clouds
66,Roald,NO,62.5833,6.1333,39.99,81,75,12.66,broken clouds
67,Port Alfred,ZA,-33.5906,26.891,75.02,82,47,26.22,scattered clouds
68,Bengkulu,ID,-3.8004,102.2655,76.1,88,100,9.84,overcast clouds
69,Filadelfia,US,39.9523,-75.1638,38.01,46,20,1.99,few clouds
70,Maniitsoq,GL,65.4167,-52.9,3.96,72,100,14.61,overcast clouds
71,Kieta,PG,-6.2167,155.6333,79.36,83,100,7.56,overcast clouds
72,Khatanga,RU,71.9667,102.5,-18.33,98,99,8.61,overcast clouds
73,Mayo,US,38.8876,-76.5119,39.56,37,0,5.99,clear sky
74,Kurchum,KZ,48.5722,83.6542,23.05,47,0,15.43,clear sky
75,Chuy,UY,-33.6971,-53.4616,75.27,39,3,16.82,clear sky
76,Kodiak,US,57.79,-152.4072,36.91,70,0,10.36,clear sky
77,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,72,40,14.0,scattered clouds
78,Mar Del Plata,AR,-38.0023,-57.5575,68.09,88,75,7.0,mist
79,Yellowknife,CA,62.456,-114.3525,-4.59,87,100,13.8,light snow
80,Collie,AU,-33.3667,116.15,50.99,74,66,8.23,broken clouds
81,Nelson Bay,AU,-32.7167,152.15,71.01,68,76,1.99,broken clouds
82,Conde,BR,-7.2597,-34.9075,85.46,58,0,12.66,clear sky
83,Chicama,PE,-7.8447,-79.1469,70.34,57,95,11.68,overcast clouds
84,Grand Gaube,MU,-20.0064,57.6608,79.38,80,91,4.0,overcast clouds
85,Butaritari,KI,3.0707,172.7902,81.39,77,34,15.23,light rain
86,Prince Rupert,CA,54.3161,-130.3201,46.49,76,100,21.85,overcast clouds
87,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,81,1,18.86,clear sky
88,Port Elizabeth,ZA,-33.918,25.5701,78.1,83,0,14.97,clear sky
89,Vao,NC,-22.6667,167.4833,79.95,84,84,1.05,broken clouds
90,Idrinskoye,RU,54.3708,92.1358,0.7,97,100,2.35,overcast clouds
91,Port Shepstone,ZA,-30.7414,30.455,74.25,84,39,14.85,scattered clouds
92,Gari,RU,59.4307,62.3497,11.23,96,100,6.6,overcast clouds
93,Marawi,PH,7.9986,124.2928,64.65,91,25,1.86,scattered clouds
94,Altay,CN,47.8667,88.1167,8.44,46,10,10.09,clear sky
95,Sept-Iles,CA,50.2001,-66.3821,5.43,59,40,7.0,scattered clouds
96,Kaitangata,NZ,-46.2817,169.8464,47.93,75,10,1.45,clear sky
97,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,18.41,scattered clouds
98,Stephenville,US,32.2207,-98.2023,53.94,36,0,5.75,clear sky
99,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,16.11,broken clouds
100,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,99,15.5,overcast clouds
101,Tonantins,BR,-2.8731,-67.8022,81.68,79,86,3.11,overcast clouds
102,Hamilton,US,39.1834,-84.5333,40.14,58,0,3.0,clear sky
103,Merrill,US,45.1805,-89.6835,26.37,81,100,5.75,overcast clouds
104,Usuki,JP,33.1081,131.7878,34.38,72,12,5.99,few clouds
105,Hilo,US,19.7297,-155.09,71.26,91,100,5.75,heavy intensity rain
106,Iracoubo,GF,5.4802,-53.2011,81.03,77,100,8.7,overcast clouds
107,Alofi,NU,-19.0595,-169.9187,75.09,94,100,11.5,overcast clouds
108,Touros,BR,-5.1989,-35.4608,86.9,63,1,13.51,clear sky
109,Pafos,CY,34.7667,32.4167,53.51,87,75,6.91,broken clouds
110,Yanam,IN,16.7333,82.2167,68.88,80,73,2.68,broken clouds
111,Ratnagiri,IN,16.9833,73.3,71.08,79,74,4.94,broken clouds
112,La Rioja,ES,42.25,-2.5,42.04,72,14,5.23,few clouds
113,East Wenatchee Bench,US,47.4257,-120.2812,38.37,93,100,4.61,fog
114,Albany,US,42.6001,-73.9662,27.82,51,13,1.99,few clouds
115,Birkeland,NO,58.3309,8.2323,31.55,80,0,3.44,clear sky
116,Qasigiannguit,GL,68.8193,-51.1922,1.65,99,100,5.39,overcast clouds
117,Rocha,UY,-34.4833,-54.3333,71.35,44,0,19.66,clear sky
118,Cap Malheureux,MU,-19.9842,57.6142,79.47,80,84,4.0,broken clouds
119,Jalu,LY,29.0331,21.5482,60.94,28,6,4.76,clear sky
120,Morondava,MG,-20.2833,44.2833,80.8,83,100,18.86,moderate rain
121,Kavieng,PG,-2.5744,150.7967,81.16,77,82,3.47,broken clouds
122,Yaring,TH,6.8662,101.3689,76.42,86,99,9.75,overcast clouds
123,Sterlitamak,RU,53.6246,55.9502,9.46,97,100,1.39,overcast clouds
124,Tazovskiy,RU,67.4667,78.7,-22.97,100,98,3.36,overcast clouds
125,Bethel,US,41.3712,-73.414,29.71,56,0,9.22,clear sky
126,Nantucket,US,41.2835,-70.0995,33.91,60,0,6.91,clear sky
127,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,86,63,12.8,broken clouds
128,Iqaluit,CA,63.7506,-68.5145,-32.31,66,20,1.99,few clouds
129,Aginskoye,RU,51.1,114.53,11.03,86,61,12.12,broken clouds
130,Ribeira Grande,PT,38.5167,-28.7,63.0,77,75,9.22,broken clouds
131,Half Moon Bay,US,37.4636,-122.4286,66.07,56,0,11.5,clear sky
132,Ancud,CL,-41.8697,-73.8203,75.22,66,10,6.38,clear sky
133,Labrea,BR,-7.2586,-64.7981,87.35,62,37,2.98,moderate rain
134,Geraldton,AU,-28.7667,114.6,70.21,56,100,12.66,overcast clouds
135,Marsh Harbour,BS,26.5412,-77.0636,75.02,71,47,13.62,scattered clouds
136,Anadyr,RU,64.75,177.4833,-17.9,83,0,11.18,clear sky
137,Podyuga,RU,61.095,40.8647,8.64,96,100,6.06,overcast clouds
138,Singleton,AU,-32.5667,151.1833,62.46,96,33,2.82,scattered clouds
139,Mount Gambier,AU,-37.8333,140.7667,59.36,63,0,5.23,clear sky
140,Benicarlo,ES,40.4165,0.4271,52.9,68,73,6.44,broken clouds
141,Athabasca,CA,54.7169,-113.2854,42.62,78,0,14.41,clear sky
142,Henties Bay,NA,-22.116,14.2845,69.85,80,79,9.53,broken clouds
143,Codrington,AU,-38.2667,141.9667,57.51,77,0,9.08,clear sky
144,San Felipe,VE,10.3399,-68.7425,85.35,51,79,7.7,broken clouds
145,Simao,CN,22.7886,100.9748,47.55,95,0,2.26,clear sky
146,Manaus,BR,-3.1019,-60.025,82.89,83,75,4.61,broken clouds
147,Fuengirola,ES,36.54,-4.6247,59.85,91,75,4.61,broken clouds
148,Tomatlan,MX,19.9333,-105.25,90.9,27,22,7.81,few clouds
149,Atuona,PF,-9.8,-139.0333,78.78,72,0,19.04,clear sky
150,Kaduqli,SD,11.0167,29.7167,72.09,14,4,10.42,clear sky
151,Mao,ES,39.8885,4.2658,45.16,93,20,2.3,few clouds
152,Cabinda,AO,-5.55,12.2,77.49,87,53,7.2,light rain
153,Black River,JM,18.0264,-77.8487,82.98,44,3,7.49,clear sky
154,Banjar,ID,-8.19,114.9675,78.66,92,99,2.64,overcast clouds
155,Northam,GB,51.0333,-4.2167,49.62,82,30,29.46,scattered clouds
156,Talnakh,RU,69.4865,88.3972,-26.18,98,52,2.53,broken clouds
157,Salinas,US,36.6777,-121.6555,67.21,46,0,0.0,clear sky
158,Paka,MY,4.6374,103.4368,76.93,100,100,4.61,overcast clouds
159,Bontang,ID,0.1333,117.5,76.69,87,100,8.75,overcast clouds
160,Hami,CN,42.8,93.45,26.6,32,17,12.95,few clouds
161,Salalah,OM,17.0151,54.0924,75.29,78,0,3.44,clear sky
162,Barrow,US,71.2906,-156.7887,-23.78,69,20,13.8,haze
163,Belyy Yar,RU,53.6039,91.3903,-4.11,84,100,4.47,fog
164,Hasaki,JP,35.7333,140.8333,25.2,43,0,24.02,clear sky
165,Arman,RU,59.7,150.1667,2.01,71,4,10.98,clear sky
166,Lompoc,US,34.6391,-120.4579,74.57,38,0,3.44,clear sky
167,Nizhniy Kuranakh,RU,58.8353,125.4869,-23.12,99,19,2.28,few clouds
168,Ballater,GB,57.0493,-3.0402,35.69,82,9,18.45,clear sky
169,Sao Filipe,CV,14.8961,-24.4956,73.81,71,0,10.89,clear sky
170,Cabo San Lucas,MX,22.8909,-109.9124,76.6,64,20,5.99,few clouds
171,Longyearbyen,SJ,78.2186,15.6401,19.24,63,20,12.66,few clouds
172,Padang,ID,-0.9492,100.3543,77.04,75,100,3.47,light rain
173,Dymer,UA,50.7865,30.3026,36.36,85,100,11.79,overcast clouds
174,Ponta Do Sol,PT,32.6667,-17.1,63.12,52,6,10.54,clear sky
175,Chapala,MX,20.3,-103.2,74.66,29,0,2.82,clear sky
176,Isangel,VU,-19.55,169.2667,77.11,94,100,0.0,light rain
177,Kurilsk,RU,45.2333,147.8833,23.92,81,75,6.64,broken clouds
178,Teya,RU,60.3778,92.6267,10.31,97,100,1.19,light snow
179,Plettenberg Bay,ZA,-34.0527,23.3716,74.48,64,94,5.57,overcast clouds
180,Macapa,BR,0.0389,-51.0664,85.98,70,75,6.91,broken clouds
181,Mangochi,MW,-14.4782,35.2645,70.75,89,11,2.93,light rain
182,Clyde River,CA,70.4692,-68.5914,-32.57,68,0,8.05,clear sky
183,Nuevitas,CU,21.5453,-77.2644,85.44,46,0,13.71,clear sky
184,Lavrentiya,RU,65.5833,-171.0,-12.37,93,5,6.89,clear sky
185,Benguela,AO,-12.5763,13.4055,76.89,68,100,4.52,overcast clouds
186,Mezen,RU,65.8522,44.24,16.74,92,100,11.1,overcast clouds
187,Ahipara,NZ,-35.1667,173.1667,72.84,98,100,6.71,overcast clouds
188,Inta,RU,66.0317,60.1659,-1.93,91,51,5.3,broken clouds
189,Port Hardy,CA,50.6996,-127.4199,46.76,76,100,17.27,overcast clouds
190,Namibe,AO,-15.1961,12.1522,75.06,69,100,13.47,overcast clouds
191,Neftcala,AZ,39.3742,49.2472,45.03,76,48,13.58,scattered clouds
192,Yulara,AU,-25.2406,130.9889,67.84,45,0,4.61,clear sky
193,Calama,CL,-22.4667,-68.9333,77.49,9,0,20.71,clear sky
194,Koygorodok,RU,60.445,50.9968,17.85,96,98,5.66,overcast clouds
195,Laguna,US,38.421,-121.4238,67.01,59,0,1.01,clear sky
196,Fort-Shevchenko,KZ,44.5086,50.263,36.59,65,99,9.46,overcast clouds
197,Hofn,IS,64.2539,-15.2082,27.0,67,0,16.11,clear sky
198,Arroyo,ES,41.6096,-4.7969,46.08,59,0,1.14,clear sky
199,Kahului,US,20.8947,-156.47,76.84,74,20,14.97,few clouds
200,Buarcos,PT,40.166,-8.8768,54.55,78,3,11.3,clear sky
201,Saint-Louis,SN,16.3333,-15.0,87.64,7,0,9.82,clear sky
202,Shingu,JP,33.7333,135.9833,38.91,73,33,6.02,scattered clouds
203,Santander,ES,43.4647,-3.8044,47.82,57,0,3.44,clear sky
204,Culpeper,US,38.5004,-77.9664,39.11,50,0,3.0,clear sky
205,Usinsk,RU,65.9939,57.5281,-11.25,99,11,5.77,few clouds
206,Luderitz,NA,-26.6481,15.1594,68.31,75,11,4.7,few clouds
207,Fenoarivo,MG,-18.933,47.4354,68.07,88,75,8.05,broken clouds
208,Umm Lajj,SA,25.0213,37.2685,67.28,49,0,19.57,clear sky
209,Kalmunai,LK,7.4167,81.8167,75.9,81,100,7.29,overcast clouds
210,Namwala,ZM,-15.7504,26.4384,66.29,94,100,5.08,overcast clouds
211,Barranca,PE,-10.75,-77.7667,74.3,66,100,10.58,overcast clouds
212,Sisimiut,GL,66.9395,-53.6735,0.61,95,100,10.74,overcast clouds
213,Zary,PL,51.6421,15.1373,41.05,90,100,13.0,overcast clouds
214,Locri,IT,38.2414,16.2623,58.15,88,100,3.47,overcast clouds
215,Wanning,CN,18.8003,110.3967,70.02,91,97,5.57,overcast clouds
216,Deep River,CA,46.1001,-77.4995,23.43,92,100,9.86,light snow
217,Acapulco,MX,16.8634,-99.8901,85.82,58,0,6.91,clear sky
218,Osmena,PH,10.5208,119.9258,79.43,81,95,21.59,overcast clouds
219,Provideniya,RU,64.3833,-173.3,-5.57,84,2,4.03,clear sky
220,Boa Vista,BR,2.8197,-60.6733,89.58,48,75,6.91,broken clouds
221,Benavente,ES,42.0025,-5.6783,44.98,49,96,2.15,overcast clouds
222,Nuuk,GL,64.1835,-51.7216,5.61,78,75,21.85,broken clouds
223,Weihe,CN,32.9952,105.3247,28.18,90,97,2.24,overcast clouds
224,Bustamante,MX,26.5333,-100.5,60.8,27,0,3.74,clear sky
225,Katsuura,JP,35.1333,140.3,35.71,46,84,9.53,broken clouds
226,Derzhavinsk,KZ,51.1,66.3167,12.99,84,100,9.84,overcast clouds
227,Arlit,NE,18.7369,7.3853,68.68,9,0,5.28,clear sky
228,Oriximina,BR,-1.7656,-55.8661,82.02,74,100,1.7,light rain
229,Yaan,NG,7.3833,8.5667,86.07,13,4,3.47,clear sky
230,Hobyo,SO,5.3505,48.5268,76.73,69,65,15.39,broken clouds
231,Along,IN,28.1667,94.7667,48.25,96,54,0.6,broken clouds
232,Waipawa,NZ,-41.4122,175.5153,57.83,78,100,11.56,overcast clouds
233,Santa Maria,BR,-29.6842,-53.8069,86.11,24,5,12.97,clear sky
234,Sawakin,SD,19.1059,37.3321,70.95,61,0,9.75,clear sky
235,Davila,PH,18.4726,120.5763,73.99,85,100,16.35,overcast clouds
236,Nome,US,64.5011,-165.4064,-0.33,55,0,5.75,clear sky
237,Muroran,JP,42.3172,140.9881,26.26,74,93,16.42,overcast clouds
238,Ilanskiy,RU,56.2358,96.065,3.92,96,100,3.31,overcast clouds
239,Muros,ES,42.7762,-9.0603,52.84,71,47,10.63,scattered clouds
240,Batagay-Alyta,RU,67.8006,130.4114,-24.63,99,100,2.48,overcast clouds
241,Alta Floresta,BR,-9.8756,-56.0861,87.62,66,75,4.61,broken clouds
242,Esperance,AU,-33.8667,121.9,63.19,71,100,23.47,overcast clouds
243,Keti Bandar,PK,24.1447,67.4497,70.38,66,0,11.27,clear sky
244,Baghdad,IQ,33.3406,44.4009,48.11,53,0,3.44,clear sky
245,Witbank,ZA,-25.8713,29.2332,62.98,64,76,13.35,broken clouds
246,Mvuma,ZW,-19.2792,30.5283,63.43,79,15,10.31,few clouds
247,Gobabis,NA,-22.45,18.9667,71.87,57,48,6.71,scattered clouds
248,Pangnirtung,CA,66.1451,-65.7125,-31.0,68,75,0.0,broken clouds
249,Iglesias,IT,39.3114,8.535,51.22,85,3,6.58,clear sky
250,Yeppoon,AU,-23.1333,150.7333,67.78,76,10,13.24,clear sky
251,The Valley,AI,18.217,-63.0578,77.14,73,75,14.97,broken clouds
252,Sibu,MY,2.3,111.8167,73.71,100,40,1.14,scattered clouds
253,Fortuna,US,40.5982,-124.1573,61.93,61,0,5.75,clear sky
254,Flinders,AU,-34.5833,150.8552,66.79,84,77,10.0,light rain
255,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,85.64,69,12,5.73,few clouds
256,Port Pirie,AU,-33.1833,138.0167,76.46,34,4,14.27,clear sky
257,Valley,US,45.1277,-116.1262,18.21,85,9,3.76,clear sky
258,Lodwar,KE,3.1191,35.5973,89.96,22,100,1.97,overcast clouds
259,Honiara,SB,-9.4333,159.95,78.49,88,100,3.51,overcast clouds
260,Coihaique,CL,-45.5752,-72.0662,82.35,34,20,6.91,few clouds
261,Caravelas,BR,-17.7125,-39.2481,83.34,65,7,10.25,clear sky
262,Teguldet,RU,57.3064,88.1667,11.48,92,100,4.83,overcast clouds
263,Ozinki,RU,51.1786,49.6769,19.29,95,100,7.67,overcast clouds
264,Taltal,CL,-25.4,-70.4833,71.62,62,24,5.68,few clouds
265,Zyryanka,RU,65.75,150.85,-37.41,100,29,1.88,scattered clouds
266,Maningrida,AU,-12.0667,134.2667,75.99,83,41,1.99,scattered clouds
267,Souillac,MU,-20.5167,57.5167,79.36,89,40,9.22,scattered clouds
268,Camocim,BR,-2.9022,-40.8411,83.97,69,43,14.85,light rain
269,Pemangkat,ID,1.1667,108.9667,77.2,91,96,5.39,overcast clouds
270,Komsomolskiy,UZ,40.4272,71.7189,39.92,87,75,4.61,broken clouds
271,Masingbi,SL,8.7833,-11.95,87.19,26,5,3.71,clear sky
272,Chokurdakh,RU,70.6333,147.9167,-39.37,100,87,2.51,overcast clouds
273,Lerwick,GB,60.1545,-1.1494,39.2,59,42,30.09,scattered clouds
274,Elizabeth City,US,36.2946,-76.2511,44.02,71,100,1.01,overcast clouds
275,Paamiut,GL,61.994,-49.6678,6.69,76,100,11.52,overcast clouds
276,Vila Velha,BR,-20.3297,-40.2925,82.35,82,40,7.0,scattered clouds
277,Avera,US,33.194,-82.5271,50.68,44,100,9.4,overcast clouds
278,Talaya,RU,61.3833,152.75,-35.82,88,9,1.86,clear sky
279,Joshimath,IN,30.5667,79.5667,43.63,70,100,2.84,overcast clouds
280,Beloha,MG,-25.1667,45.05,74.12,94,100,19.26,moderate rain
281,Shakawe,BW,-18.3667,21.85,69.91,75,90,4.59,overcast clouds
282,Pisco,PE,-13.7,-76.2167,72.01,88,20,9.22,mist
283,Meulaboh,ID,4.1363,96.1285,76.14,90,100,6.53,overcast clouds
284,Boysun,UZ,38.2061,67.1986,33.01,95,93,4.59,overcast clouds
285,Marsa Matruh,EG,31.3525,27.2453,59.04,61,2,8.23,clear sky
286,Amapa,BR,1.0,-52.0,73.02,99,100,4.07,overcast clouds
287,Lucapa,AO,-8.4192,20.7447,66.4,94,84,3.06,light rain
288,Bonthe,SL,7.5264,-12.505,80.64,75,36,10.45,scattered clouds
289,Kargopol,RU,61.5071,38.9456,12.51,93,99,8.05,overcast clouds
290,Freeport,US,40.6576,-73.5832,32.99,63,0,5.01,clear sky
291,Haines Junction,CA,60.7522,-137.5108,29.03,92,100,7.07,overcast clouds
292,Korla,CN,41.7597,86.1469,23.95,46,8,5.08,clear sky
293,Leningradskiy,RU,69.3833,178.4167,-22.76,98,28,6.62,scattered clouds
294,Emba,KZ,48.8264,58.1442,17.37,95,100,10.85,overcast clouds
295,Redcliffe,AU,-27.2307,153.0973,66.97,82,0,6.91,clear sky
296,Shieli,KZ,44.1667,66.75,32.16,86,100,18.05,overcast clouds
297,Copacabana,CO,6.3463,-75.5089,80.94,41,40,6.91,scattered clouds
298,Upernavik,GL,72.7868,-56.1549,-12.98,97,100,6.58,overcast clouds
299,Tondano,ID,1.3038,124.9112,68.09,95,100,1.7,overcast clouds
300,Ambulu,ID,-8.345,113.6058,75.69,93,100,3.13,overcast clouds
301,Pevek,RU,69.7008,170.3133,-24.34,99,33,1.05,scattered clouds
302,Madera,US,37.1666,-119.8343,71.15,45,0,4.14,clear sky
303,Tammisaari,FI,59.9736,23.4339,35.29,96,76,8.75,broken clouds
304,Westport,US,41.1415,-73.3579,31.86,59,0,1.99,clear sky
305,Te Anau,NZ,-45.4167,167.7167,41.56,88,15,1.14,few clouds
306,Palmer,US,42.1584,-72.3287,29.28,39,40,3.0,scattered clouds
307,Koslan,RU,63.4564,48.8989,15.4,94,100,8.55,overcast clouds
308,Carnarvon,AU,-24.8667,113.6333,73.58,66,39,23.8,scattered clouds
309,Kindu,CD,-2.95,25.95,75.16,79,100,0.63,overcast clouds
310,Nemuro,JP,43.3236,145.575,24.96,74,97,16.84,overcast clouds
311,Hovd,MN,48.0056,91.6419,-13.88,75,12,3.2,few clouds
312,Xiaoweizhai,CN,26.1903,107.5125,39.07,97,100,3.94,overcast clouds
313,Adrar,MR,20.5022,-10.0711,73.11,8,0,9.17,clear sky
314,Itaituba,BR,-4.2761,-55.9836,89.76,66,20,5.75,few clouds
315,Semnan,IR,35.5729,53.3971,39.43,52,4,3.44,clear sky
316,Port Keats,AU,-14.25,129.55,78.17,86,100,6.67,overcast clouds
317,Nouadhibou,MR,20.931,-17.0347,67.98,88,5,14.97,clear sky
318,Hanstholm,DK,57.1167,8.6167,34.63,68,67,22.32,light snow
319,Mugur-Aksy,RU,50.35,90.5,-8.21,48,0,6.71,clear sky
320,Husavik,IS,66.0449,-17.3389,24.71,77,100,8.23,overcast clouds
321,Mastic Beach,US,40.7668,-72.8521,32.09,67,20,1.01,few clouds
322,Vardo,NO,70.3705,31.1107,26.58,74,75,17.27,broken clouds
323,Taylorville,US,39.5489,-89.2945,37.0,69,0,11.5,clear sky
324,Cayenne,GF,4.9333,-52.3333,82.09,84,75,5.01,light rain
325,Pailon,BO,-17.65,-62.75,91.08,93,100,2.84,overcast clouds
326,North Bend,US,43.4065,-124.2243,59.16,77,0,8.05,clear sky
327,San Anselmo,US,37.9747,-122.5616,63.32,61,0,5.75,clear sky
328,Harper,LR,4.375,-7.7169,80.11,80,100,10.74,overcast clouds
329,Le Pradet,FR,43.1066,6.0172,55.65,44,0,14.97,clear sky
